EmbeddingID,TestName,AuthorID,Embedding,Timestamp
1, ,13,"[0.6717800329298809,0.5964509876072037,0.5841552039061256,0.450220869068059,0.812498988763593,0.4589963280293758,0.2649281024932861,0.6411000415249714,0.6848273394167114,0.2949245541838134,0.3734567901234568,0.7072185061315497,0.2650429799426934,0.4993860008186656,0.5959885386819485,0.35,0.4250316952207008,0.061515748031496,0.0808974220688167,0.3219515784825962,0.0532988430597799,0.7815579826037409,0.268902358386599,0.4577322963569381,0.2412204692696287,0.5015014357557268,0.4251137467974203,0.1138541528302244,0.2834467120181403,0.3814609956131982,0.3407671046155009,0.1295756397797213,0.0728862973760932,0.3390060343074104,0.0,0.0,0.1214771622934887,0.0,0.0,0.0,0.0,0.0,0.3123698458975424,0.0,0.0,0.0,0.1325205406838059,0.3772937746527179,0.4266514968356678,0.3300511579294789,0.0477942933613726,0.0,0.0,0.0,0.1005328239670251,0.0,0.0,0.0]",2024-03-28 11:07:39
2, ,13,"[0.7094013696613344,0.6137287667404955,0.5948610020319384,0.4326731903913435,0.7815016186799045,0.4951895868704018,0.3157821893692016,0.7754857576780806,0.7491268216307359,0.492459218220991,0.3905817174515235,0.7561436672967864,0.4010695187165775,0.5385790679908328,0.6975638740344623,0.3409090909090909,0.2898202700296859,0.0262164429530201,0.0689528362599981,0.1960107884337954,0.0605722869672667,0.6269955654101996,0.3300401725933641,0.6142958459979739,0.3076896884766661,0.5317976396896041,0.6026666666666667,0.5312179055848709,0.3733572281959376,0.3517234448799113,0.244379276637341,0.2986857825567501,0.1344086021505375,0.0625156289072267,0.0507202272266179,0.0,0.1120071684587812,0.0,0.0,0.0,0.2688172043010751,0.0,0.4480286738351251,0.0,0.1536098310291857,0.0867152271938952,0.3054740957966762,0.6641366223908913,0.19669551534225,0.2028809089064718,0.0881367882954345,0.1280081925243215,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-28 11:08:56
3, ,13,"[0.6554882597919792,0.5922297921157749,0.5808328249928358,0.481523474736145,0.8528823410560838,0.5278238576383653,0.369804173707962,0.4970571663261081,0.75098814229249,0.3838383838383838,0.3454545454545454,0.7752750130958618,0.3441011235955056,0.6701444622792938,0.6978776529338327,0.3209090909090909,0.2895213321544618,0.0564079422382671,0.0989070768013451,0.2952191369479402,0.016291102451485,0.6205451560634488,0.3064685314685315,0.5873647186147185,0.2834892600705855,0.5776814259095813,0.5999296459271388,0.1674231713669171,0.3979624323463862,0.4820180488980528,0.1488482863841029,0.1910219675262653,0.2148997134670485,0.1999067102019056,0.0,0.4477077363896845,0.0,0.0,0.1790830945558738,0.0,0.0,0.0,0.2387774594078317,0.0,0.0,0.0,0.195363375879135,0.4045171077026796,0.2096582570410229,0.1081256419959992,0.0,0.272888525037522,0.0,0.136444262518761,0.0988044659618614,0.0,0.0,0.0]",2024-03-28 11:10:08
4, ,person,"[0.6828293386197656,0.5794231259222405,0.6254932065490754,0.32968141307450016,0.8312665070023105,0.24548311076197957,0.6015947461128235,0.6003091039881384,0.6343310756681961,0.26242322724734785,0.44221105527638194,0.7261632341723876,0.2506112469437653,0.3248340901152637,0.604183645748438,1,0.2662109569713451,0.1376045794804051,0.11900936603710713,0.0,0.0786311882745172,0.4953932070992239,0.7852898286547576,0.42184608440532606,0.6732706497395586,0.5007379714412797,0.8101990049751244,0.08095986010136175,0.10364842454394686,0.2557306923327287,0.3553660270078179,0.16583747927031497,0.3109452736318406,0.11570056693277789,0.046935135642541974,0.1554726368159203,0.051824212271973424,0.07773631840796015,0.31094527363184066,0.2487562189054725,0.0,0.06218905472636811,0.8884150675195445,0.25733401955738533,0.14214641080312712,0.0,0.16960651289009485,0.35118525021949054,0.3640334910811792,0.0,0.0,0.11845534233593928,0.0,0.059227671167969634,0.0,0.0,0.2072968490878938,0.0]",2024-03-30 00:16:41
5, ,person,"[0.6878427759977602,0.5892956498438903,0.632511414598065,0.35861518517807056,0.8668459572295492,0.296794618124258,0.6143332719802856,0.5615777839380538,0.6220113293607004,0.22560631697687533,0.44923857868020306,0.7139136562796826,0.1890243902439024,0.34146341463414637,0.5560975609756098,0.749090909090909,0.24469494560839186,0.11018069634200088,0.14293711957881194,0.0,0.15740099477428696,0.6840286063396821,0.5586511848806932,0.4014720642355302,0.48191026828198463,0.4735193146994835,0.6693843984962407,0.032304958811177516,0.2784739626844888,0.32792261026397745,0.45568466621098175,0.11138958507379551,0.4385964912280698,0.17485574401119064,0.14186409419775844,0.0,0.05221386800334164,0.07832080200501247,0.15664160401002497,0.0,0.0,0.06265664160400998,0.5967299200381903,0.08642295393656549,0.07160759040458284,0.08084727948904513,0.11392116655274541,0.47176765443019275,0.48902744666544373,0.14186409419775847,0.0,0.0,0.0,0.0,0.0,0.0,0.20885547201336668,0.0]",2024-03-30 00:16:58
6, ,person,"[0.6840147562427777,0.5673496136530436,0.46814070981679384,0.31030355826786293,0.8094034506521431,0.3036437246963563,0.7025981545448303,0.48079398767164494,0.6592782040352372,0.28758169934640526,0.4117647058823529,0.7658378168775144,0.3435114503816794,0.35986913849509267,0.6547921967769296,0.6525,0.27053559900065793,0.16611295681063123,0.03591631498608243,0.0,0.14238253440911247,0.6142461197339247,0.5578088578088578,0.4882395382395381,0.44598393574297185,0.43605169821189244,0.6850961538461539,0.02527678074920378,0.3739316239316237,0.3594536304816676,0.3996003996003994,0.17094017094017083,0.09615384615384609,0.0,0.21770682148040624,0.12019230769230761,0.08012820512820508,0.0,0.0,0.0,0.3846153846153844,0.0,0.9615384615384609,0.0,0.10989010989010982,0.0,0.1748251748251747,0.27149321266968307,0.5628517823639771,0.14513788098693753,0.0,0.18315018315018305,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-30 00:17:12
7, ,person,"[0.6683526512640383,0.5780031797883239,0.4476120425594924,0.36369387887100996,0.8301658139539979,0.34347917987740434,0.6971875429153442,0.42109269672487476,0.6184357214105498,0.22492127755285649,0.4939271255060729,0.73221229106701,0.21739130434782608,0.31620553359683795,0.5744400527009224,0.6325,0.2497944771333229,0.09038322487346348,0.07816927556623869,0.0,0.07747133560582585,0.7073519571232988,0.46303088803088804,0.3986762272476557,0.3976516103022127,0.44059504025523444,0.6651669176706827,0.02617595476795016,0.39045069165551066,0.3002664865067745,0.26078339331351363,0.26773761713520733,0.30120481927710824,0.0,0.07577479730241715,0.1255020080321284,0.2510040160642569,0.1255020080321284,0.0,0.40160642570281097,0.40160642570281097,0.0,0.621533754063874,0.0,0.0,0.2591009198082651,0.2738225629791893,0.519725962674226,0.4897639337839158,0.15154959460483433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-30 00:17:27
8, ,person,"[0.7112886744572802,0.6184083860870102,0.6509530289434607,0.3426675365356406,0.8810043155044731,0.3394830492601611,0.5249001383781433,0.6733025351172661,0.6188093003857783,0.2478017585931255,0.44964028776978415,0.6506950606329489,0.31905594405594406,0.3271728271728272,0.606060606060606,0.8142857142857143,0.21409235151109557,0.10041773778920308,0.06947821857847565,0.0,0.0918105031215571,0.5673709250875657,0.6660090762479841,0.40466114090687455,0.5228414388906184,0.5057814274300905,0.7642412302999493,0.10420043532626315,0.22241992882562261,0.3159610203878004,0.4390627166427876,0.0,0.4003558718861207,0.04138045187453444,0.100718458336131,0.11120996441281131,0.14827995255041507,0.0,0.22241992882562267,0.2669039145907472,0.08896797153024906,0.04448398576512452,0.4024741569225552,0.24542888697999737,0.2033553634977121,0.11479738261967619,0.0,0.33493824576093756,0.17359604201024204,0.134291277781508,0.0,0.1694628029147601,0.0,0.0,0.18407166523499804,0.0,0.14827995255041512,0.0]",2024-03-30 00:17:57
9, ,person,"[0.7356394324230939,0.6241518029063874,0.6796953247324381,0.3774633225687931,0.89398155965985,0.2801162861122888,0.4848583936691284,0.6271934972433815,0.6309009238071023,0.23391812865497075,0.4409356725146199,0.7091571203208162,0.24543378995433787,0.31800391389432486,0.5920852359208524,0.7634782608695652,0.23140225187448538,0.15457543281121186,0.04456228693656559,0.0,0.06624661406194794,0.6243189135979897,0.5797602495208749,0.4312380952380951,0.4937275759936014,0.43555057813444464,0.6032801277727075,0.037799752033626656,0.2876869965477558,0.2796210059903421,0.43339859220181404,0.07671653241273488,0.43153049482163375,0.16056948644525906,0.13027335692728564,0.07192174913693897,0.0958956655159186,0.1798043728423474,0.14384349827387796,0.05753739930955118,0.23014959723820472,0.08630609896432674,0.5753739930955116,0.15872386016427908,0.1315140555646884,0.0742418055607112,0.07846008996756977,0.3926081364651726,0.4771394089084731,0.23883448770002377,0.0,0.0547975231519535,0.15835981461344367,0.0,0.03968096504106977,0.0,0.09589566551591865,0.0338455290046229]",2024-03-30 00:20:08
10, ,james,"[0.7113959932356095,0.6146063937665168,0.4783879231594827,0.4163534598734803,0.855466645339313,0.4208754208754209,0.4402729570865631,0.5193843349126922,0.6922132154261852,0.5047080979284368,0.43728813559322033,0.726909272636409,0.4377104377104377,0.5002405002405003,0.6823793490460157,0.49666666666666665,0.09134101253620266,0.07118451025056947,0.03078249091916518,0.0798330956081153,0.040676863000325414,0.6033504557614398,0.4867549952834234,0.534862239210065,0.3650115885317562,0.5163106856247422,0.6811998186998187,0.2675764265168239,0.23381967826412253,0.31467321186947333,0.6559097468188374,0.0,0.2525252525252524,0.4698144233027951,0.0,0.21043771043771028,0.0,0.0,0.0,0.16835016835016825,0.0,0.0,0.4008337341670672,0.0,0.0,0.0,0.0,0.2772826302238065,0.49273220004927293,0.06352836541515783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2024-03-30 00:26:53
