TestID,Testname,AuthorID,Result,Timestamp
2, ,Student A,0.986,2024-04-23 07:35:50
3, ,Student A,0.956,2024-04-23 07:40:50
4, ,Student A,0.969,2024-04-23 07:42:21
5, ,Student A,0.234,2024-04-23 22:49:18
6, ,Student A,0.48,2024-04-23 22:49:41
7, ,Student A,0.949,2024-04-23 22:50:48
8, ,Student A,0.712,2024-04-23 22:51:52
9, ,Student A,0.954,2024-04-23 22:52:38
10, ,Student A,0.94,2024-04-23 22:53:06
11, ,Student A,0.719,2024-04-24 22:06:39
12, ,Student A,0.927,2024-04-24 22:07:07
13, ,Student A,0.773,2024-05-04 16:15:46
14, ,Student A,0.763,2024-05-04 16:16:20
15, ,Student A,0.91,2024-06-26 16:51:01
16, ,Student A,0.936,2024-06-26 20:11:33
